SKU,Images,Meta: bacola_post_views_count,Meta: klb_product_badge_type,Meta: _alg_wc_wholesale_pricing_per_product_enabled,Meta: _alg_wc_wholesale_pricing_discount_type,Meta: _alg_wc_wholesale_pricing_levels_number,Meta: send_coupons_on_renewals,Meta: _klb_single_video_input,Meta: _monsterinsights_sitenote_active,Meta: om_disable_all_campaigns,Image Source URL,Saved Filename,Status
841496,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2026/01/2.5oz-Colgate-Triple-Act-70g.png,8.0,type1,no,percent,0.0,no,,0.0,,,,
9257B8,,1.0,,,,,,,,,,,
23521E,,12.0,,,,,,,,,,,
F4E18C,,10.0,,,,,,,,,,,
3FD522,,12.0,,,,,,,,,,,
89EC8B,,9.0,,,,,,,,,,,
226FBA,,6.0,,,,,,,,,,,
49DD3D,,34.0,,,,,,,,,,,
808952,,6.0,,,,,,,,,,,
70935F,,11.0,,,,,,,,,,,
1BE019,,9.0,,,,,,,,,,,
5D3F85,,11.0,,,,,,,,,,,
8CF00E,,7.0,,,,,,,,,,,
7ACD3D,,7.0,,,,,,,,,,,
33D267,,7.0,,,,,,,,,,,
F60388,,3.0,,,,,,,,,,,
C4F054,,8.0,,,,,,,,,,,
5F5C88,,8.0,,,,,,,,,,,
7A552B,,5.0,,,,,,,,,,,
1796F6,,5.0,,,,,,,,,,,
BBC1B0,,10.0,,,,,,,,,,,
5CAA19,,5.0,,,,,,,,,,,
B9299C,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2022/12/200g-Maggi-Shaker-Chicken-24.jpg,78.0,type1,no,percent,0.0,no,,0.0,,,,
5BD3F8,,8.0,,,,,,,,,,,
6FE550,,7.0,,,,,,,,,,,
1EA8EB,,5.0,,,,,,,,,,,
A70051,,6.0,,,,,,,,,,,
E63B96,,15.0,,,,,,,,,,,
335514,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2026/01/squeeze-200ml.jpg,39.0,type1,no,percent,0.0,no,,0.0,,,,
F2A2E8,,10.0,,,,,,,,,,,
66305A,,5.0,,,,,,,,,,,
44E90F,,14.0,,,,,,,,,,,
32D5BC,,5.0,,,,,,,,,,,
