SKU,Images,"Meta: bacola_post_views_count","Meta: klb_product_badge_type","Meta: _alg_wc_wholesale_pricing_per_product_enabled","Meta: _alg_wc_wholesale_pricing_discount_type","Meta: _alg_wc_wholesale_pricing_levels_number","Meta: send_coupons_on_renewals","Meta: _klb_single_video_input","Meta: _monsterinsights_sitenote_active","Meta: om_disable_all_campaigns"
9D957A,,4,,,,,,,,
B092C3,,3,,,,,,,,
641F94,,5,,,,,,,,
4F04F9,,9,,,,,,,,
F6BEC5,,10,,,,,,,,
FF42BD,,5,,,,,,,,
61C8D4,,5,,,,,,,,
F20084,,18,,,,,,,,
5282BC,,3,,,,,,,,
B4DF94,,11,,,,,,,,
D540CD,,5,,,,,,,,
0260CD,,1,,,,,,,,
CC2CF0,,6,,,,,,,,
6A734C,,2,,,,,,,,
843A73,,4,,,,,,,,
848DD1,,3,,,,,,,,
6C3E24,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2022/12/hotpeppersauce-3oz.jpg,16,type1,no,percent,0,no,,0,
994FF6,,15,,,,,,,,
795BE1,,8,,,,,,,,
C50CE6,,3,,,,,,,,
9C488C,,6,,,,,,,,
FA5E90,,5,,,,,,,,
466BC2,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2022/12/bun.png,68,type1,no,percent,0,no,,0,
01CE13,,4,,,,,,,,
A7C44B,,6,,,,,,,,
8EC081,,3,,,,,,,,
13BF41,,3,,,,,,,,
F2D723,,4,,,,,,,,
5E6BE8,,3,,,,,,,,
854BE3,,7,,,,,,,,
E7C87B,,2,,,,,,,,
8D270B,,1,,,,,,,,
932B45,,8,,,,,,,,
4330BA,,1,,,,,,,,
9B492E,,2,,,,,,,,
CB6934,,4,,,,,,,,
5E28D2,,12,,,,,,,,
8C2B05,,5,,,,,,,,
263B76,,21,,,,,,,,
75F94C,,7,,,,,,,,
C52677,,7,,,,,,,,
EA4ED7,,6,,,,,,,,
11B5BE,,7,,,,,,,,
7543EF,,4,,,,,,,,
22FB1D,,2,,,,,,,,
625F87,,5,,,,,,,,
453D1E,,7,,,,,,,,
42FA56,,47,,,,,,,,
49A801,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2026/01/Brunswick_Chunky_Mackerel_Tomato_Sauce_425g__60536_zoom.jpg,51,type1,no,percent,0,no,,0,
0A40DD,,5,,,,,,,,
7D4F06,,6,,,,,,,,
928ECF,,7,,,,,,,,
78F09A,,4,,,,,,,,
694FF4,,3,,,,,,,,
0A66CB,,2,,,,,,,,
473288,,9,,,,,,,,
0C8C76,,4,,,,,,,,
48F850,,3,,,,,,,,
5E048D,,0,,,,,,,,
4C3C49,,4,,,,,,,,
21C7C7,,0,,,,,,,,
E2E8DD,,4,,,,,,,,
367653,,5,,,,,,,,
B2C5A0,,2,,,,,,,,
44E6EF,,0,,,,,,,,
EEA41D,,4,,,,,,,,
F14082,,10,,,,,,,,
8253AC,,15,,,,,,,,
F7BDCE,,8,,,,,,,,
577653,,16,,,,,,,,
C22688,,2,,,,,,,,
AFC277,,5,,,,,,,,
2DDCB4,,10,,,,,,,,
C73286,,38,,,,,,,,
F91EBA,,7,,,,,,,,
EDC946,,21,,,,,,,,
252366,,10,,,,,,,,
026E2B,,6,,,,,,,,
1A2119,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2022/12/4oz-Colgate-MED113g.jpg,4,type1,no,percent,0,no,,0,
DE9520,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2026/01/4oz-Colgate-Triple-Action.jpg,15,type1,no,percent,0,no,,0,
9DEB70,,16,,,,,,,,
053A05,,14,,,,,,,,
947391,,11,,,,,,,,
877AE1,,7,,,,,,,,
ADCF3C,,19,,,,,,,,
58B619,,10,,,,,,,,
32D677,,6,,,,,,,,
9650D0,,20,,,,,,,,
E42240,,25,,,,,,,,
A5FDB2,,10,,,,,,,,
DB9F38,,71,,,,,,,,
54E516,,40,,,,,,,,
1D18FB,,3,,,,,,,,
2E9D08,,5,,,,,,,,
4228E6,,11,,,,,,,,
1E821A,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2026/01/500ml_Catherines_Peak_Water_24.jpg,25,type1,no,percent,0,no,,0,
F325E4,,14,,,,,,,,
CA3838,,4,,,,,,,,
11D4CC,,21,,,,,,,,
072ACE,,8,,,,,,,,
CD8321,,40,,,,,,,,
983350,,7,,,,,,,,
029126,,10,,,,,,,,
EFCC11,,4,,,,,,,,
A93FA0,,16,,,,,,,,
7F9B9B,,12,,,,,,,,
7E8D9C,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2022/12/idrate.png,83,type1,no,percent,0,no,,0,
ADD220,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2022/12/idrate.png,13,type1,no,percent,0,no,,0,
A6E818,,25,type1,no,percent,0,no,,0,
C72207,,10,,,,,,,,
0F835F,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2022/12/4litre-Lider-Oil-4.jpg,70,type1,no,percent,0,no,,0,
17BFA3,,14,,,,,,,,
378DD1,,5,,,,,,,,
478D95,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2026/01/icool-juice-24pak.jpg,42,type1,no,percent,0,no,,0,
B039F3,,12,,,,,,,,
E2B854,,9,,,,,,,,
061DF8,,19,,,,,,,,
2B77CC,,70,,,,,,,,
B0CC85,,4,,,,,,,,
F4B2FB,,1,,,,,,,,
07AAE2,,5,,,,,,,,
CF8D57,,10,,,,,,,,
9B3150,,6,,,,,,,,
3A0FD2,,14,,,,,,,,
8320C7,,9,,,,,,,,
235BAE,,4,,,,,,,,
58A1EE,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2022/12/Power-Energy-Drink-591ml.jpg,13,type1,no,percent,0,no,,0,
F9D471,,4,,,,,,,,
104961,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2026/01/fat-gatorade.jpg,35,type1,no,percent,0,no,,0,
FD5955,,2,,,,,,,,
5AC999,,43,,,,,,,,
60612B,,20,,,,,,,,
0E47ED,,18,,,,,,,,
3D6239,,8,,,,,,,,
1CCC7D,,12,,,,,,,,
D57407,,8,,,,,,,,
34D552,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2024/11/Alberto-A1-White-Rice-4.5Kg-1.jpg,22,type1,no,percent,0,no,,0,
CCC363,,15,,,,,,,,
B07050,,5,,,,,,,,
05E6E8,,5,,,,,,,,
E7D5E9,,15,,,,,,,,
4835D3,,5,,,,,,,,
68E1D3,,15,,,,,,,,
A964B4,,12,,,,,,,,
AC72C0,,8,,,,,,,,
6C6B23,,2,,,,,,,,
E87CB9,,3,,,,,,,,
63C9D1,,9,,,,,,,,
89A2A6,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2023/03/gatorade-orange-ice-600ml-x-12.jpg,39,type1,no,percent,0,no,,0,
5A2B17,,4,,,,,,,,
8040D2,,0,,,,,,,,
8A8964,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2023/12/axion-dishwashing-liquid-640ml-lemon-537375.webp,24,type1,no,percent,0,no,,0,
266E8D,,4,,,,,,,,
D47D22,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2022/12/6oz-Colgate-Triple-Act.jpg,22,type1,no,percent,0,no,,0,
776F12,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2022/12/NEW.GraceHotpeppersauce-MEDIUM-6-oz.jpg,30,type1,no,percent,0,no,,0,
2C24C3,,6,,,,,,,,
F97DD3,,,,,,,,,,
