SKU,Original Name,Similarity Score,Image Source URL,Saved Filename,Status
9FFC24,175ml NAIR 3in1 Lotion*12,0,,,Failed
224071,180g Kellogg Froot Loops*28,84.0,https://whim.com.mv/web/image/product.template/18337/image_1024?unique=b140be2,180g_Kellogg_Froot_Loops28.jpg,Success
90BEAE,182g Johnson Baby Oil,94.11764705882352,https://www.cvs.com/bizcontent/merchandising/productimages/high_res/381370033141.jpg,182g_Johnson_Baby_Oil.jpg,Success
1A663E,18oz AVEENO Body Lotion,0,,,Failed
36B234,18oz AVEENO Body Wash,86.48648648648648,https://i.pinimg.com/originals/ab/76/01/ab7601096994e1bf90719f5aefd9b972.png,18oz_AVEENO_Body_Wash.jpg,Success
CF2163,18pk Curves Overnight (silk),94.54545454545455,https://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2023/04/1000014098.jpg,18pk_Curves_Overnight_silk.jpg,Success
232CB2,18pk Curves Regular Maxi W/Wings *30,80.59701492537313,https://mastermacfood.com/wp-content/uploads/2021/10/CURVES-REGULAR-MAXI-WITH-WINGS-COTTON-SOFT10s.jpg,18pk_Curves_Regular_Maxi_WWings_30.jpg,Success
61A6F8,18pk Curves Ultra Thin  (wing) *30,85.24590163934427,https://windwardroad.gibbotrading.com/wp-content/uploads/sites/3/2022/12/10pk-Curves-Ultra-Thin-wing.jpg,18pk_Curves_Ultra_Thin__wing_30.jpg,Success
854450,18pk Stayfree Ultra Thin with Wings,82.85714285714285,https://cdn11.bigcommerce.com/s-znm0k3lpqn/images/stencil/1280x1280/products/12431/17611/stayfree_ultra_thin_light_with_wings_16_pads__49790.1719898923.jpg?c=1,18pk_Stayfree_Ultra_Thin_with_Wings.jpg,Success
18C8C1,19 Crimes Dark Red Blend 750ml,80.0,https://winedepot.com.my/wp-content/uploads/2022/11/19-CRIMES-RED-BLEND-2021.jpg,19_Crimes_Dark_Red_Blend_750ml.jpg,Success
507180,19 Crimes Red Blend 750ml,88.88888888888889,"https://www.totalwine.com/dynamic/x1000,sq/media/sys_master/twmmedia/h83/h43/30298454327326.png",19_Crimes_Red_Blend_750ml.jpg,Success
E9C3C2,19 Crimes Uprising Red Blend 750ml,100.0,https://19crimes.com/cdn/shop/files/2000X2000_UprisingRed_5000x.png?v=1701282913,19_Crimes_Uprising_Red_Blend_750ml.jpg,Success
517889,192ml Johnson Shea Coca Butter Oil GEL,85.33333333333333,https://drahmedelezaby.com/wp-content/uploads/2023/03/New-Project-2023-09-15T193734.303.jpg,192ml_Johnson_Shea_Coca_Butter_Oil_GEL.jpg,Success
9C3AE5,1GAL KRAFT MAYO,80.0,https://fig-product-images.s3.amazonaws.com/068100048728.png,1GAL_KRAFT_MAYO.jpg,Success
2C2AF9,1Ib Pearl Mill Co. Pancake Mix,80.0,https://c8.alamy.com/comp/2G4FJAJ/pearl-milling-new-identity-for-aunt-jemima-buttermilk-complete-pancake-mix-box-2G4FJAJ.jpg,1Ib_Pearl_Mill_Co_Pancake_Mix.jpg,Success
2CF7C7,1Kg BIG White & Bright sud*12,0,,,Failed
545891,1kg Blanca Detergent(18*1kg),0,,,Failed
97EFE6,1kg Freshness Laundry 15*1kg,0,,,Failed
